CurrentLevel,WaveNumber,CurrentLives,CoverageByTower,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,processing_date,target_hp,target_speed
3.0,9.0,15.0,39.29,,,,,,,,2025-04-12 10:37:37.539737,2.479,2.388
3.0,9.0,15.0,39.29,,,,,,,,2025-04-12 10:37:37.539737,2.479,2.388
3.0,10.0,15.0,39.29,,,,,,,,2025-04-12 10:37:37.539737,2.593,2.479
3.0,10.0,13.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,2.549,2.445
4.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.396,1.46
4.0,1.0,10.0,12.96,,,,,,,,2025-04-12 10:37:37.539737,1.205,1.279
4.0,2.0,10.0,12.96,,,,,,,,2025-04-12 10:37:37.539737,1.266,1.338
4.0,2.0,10.0,16.67,,,,,,,,2025-04-12 10:37:37.539737,1.301,1.371
4.0,3.0,10.0,16.67,,,,,,,,2025-04-12 10:37:37.539737,1.368,1.434
4.0,3.0,10.0,20.37,,,,,,,,2025-04-12 10:37:37.539737,1.405,1.469
4.0,4.0,10.0,20.37,,,,,,,,2025-04-12 10:37:37.539737,1.478,1.535
4.0,4.0,10.0,33.33,,,,,,,,2025-04-12 10:37:37.539737,1.623,1.666
4.0,5.0,10.0,33.33,,,,,,,,2025-04-12 10:37:37.539737,1.705,1.739
4.0,5.0,10.0,33.33,,,,,,,,2025-04-12 10:37:37.539737,1.705,1.739
4.0,6.0,10.0,33.33,,,,,,,,2025-04-12 10:37:37.539737,1.791,1.814
4.0,6.0,10.0,40.74,,,,,,,,2025-04-12 10:37:37.539737,1.887,1.897
4.0,7.0,10.0,40.74,,,,,,,,2025-04-12 10:37:37.539737,1.981,1.977
4.0,7.0,10.0,40.74,,,,,,,,2025-04-12 10:37:37.539737,1.981,1.977
4.0,8.0,10.0,40.74,,,,,,,,2025-04-12 10:37:37.539737,2.078,2.059
4.0,8.0,10.0,40.74,,,,,,,,2025-04-12 10:37:37.539737,2.078,2.059
4.0,9.0,10.0,40.74,,,,,,,,2025-04-12 10:37:37.539737,2.179,2.143
4.0,9.0,10.0,40.74,,,,,,,,2025-04-12 10:37:37.539737,2.179,2.143
4.0,10.0,10.0,40.74,,,,,,,,2025-04-12 10:37:37.539737,2.283,2.229
4.0,10.0,9.0,40.74,,,,,,,,2025-04-12 10:37:37.539737,2.183,2.146
1.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.068,1.142
1.0,1.0,8.0,26.09,,,,,,,,2025-04-12 10:37:37.539737,0.932,0.999
1.0,2.0,8.0,26.09,,,,,,,,2025-04-12 10:37:37.539737,0.975,1.045
1.0,2.0,8.0,26.09,,,,,,,,2025-04-12 10:37:37.539737,0.975,1.045
1.0,3.0,8.0,26.09,,,,,,,,2025-04-12 10:37:37.539737,1.02,1.093
1.0,3.0,8.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.151,1.226
1.0,4.0,8.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.209,1.283
1.0,4.0,8.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.248,1.32
1.0,5.0,8.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.312,1.381
1.0,5.0,8.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.312,1.381
1.0,6.0,8.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.38,1.445
1.0,6.0,6.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.253,1.325
1.0,7.0,6.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.317,1.386
1.0,7.0,6.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.317,1.386
1.0,8.0,6.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.385,1.45
1.0,8.0,2.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.143,1.218
1.0,9.0,2.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.201,1.275
1.0,9.0,2.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.239,1.312
1.0,10.0,2.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.303,1.373
1.0,10.0,2.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.303,1.373
2.0,1.0,7.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,0.829,0.881
2.0,1.0,0.0,41.67,,,,,,,,2025-04-12 10:37:37.539737,0.808,0.856
2.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.166,1.24
2.0,1.0,9.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.252,1.325
2.0,2.0,9.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.317,1.386
2.0,2.0,7.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.196,1.27
2.0,3.0,7.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.257,1.329
2.0,3.0,4.0,66.67,,,,,,,,2025-04-12 10:37:37.539737,1.227,1.301
2.0,4.0,4.0,66.67,,,,,,,,2025-04-12 10:37:37.539737,1.29,1.361
2.0,4.0,4.0,66.67,,,,,,,,2025-04-12 10:37:37.539737,1.29,1.361
2.0,5.0,4.0,66.67,,,,,,,,2025-04-12 10:37:37.539737,1.357,1.424
2.0,5.0,3.0,75.0,,,,,,,,2025-04-12 10:37:37.539737,1.373,1.439
2.0,6.0,3.0,75.0,,,,,,,,2025-04-12 10:37:37.539737,1.444,1.505
2.0,6.0,3.0,83.33,,,,,,,,2025-04-12 10:37:37.539737,1.534,1.587
2.0,7.0,3.0,83.33,,,,,,,,2025-04-12 10:37:37.539737,1.613,1.657
2.0,7.0,3.0,91.67,,,,,,,,2025-04-12 10:37:37.539737,1.712,1.745
2.0,8.0,3.0,91.67,,,,,,,,2025-04-12 10:37:37.539737,1.799,1.821
2.0,8.0,3.0,91.67,,,,,,,,2025-04-12 10:37:37.539737,1.799,1.821
2.0,9.0,3.0,91.67,,,,,,,,2025-04-12 10:37:37.539737,1.889,1.898
2.0,9.0,1.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,1.823,1.842
2.0,10.0,1.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,1.915,1.92
2.0,10.0,1.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,1.915,1.92
3.0,1.0,6.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,0.855,0.913
3.0,1.0,0.0,17.86,,,,,,,,2025-04-12 10:37:37.539737,0.768,0.805
3.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.275,1.346
3.0,1.0,0.0,10.71,,,,,,,,2025-04-12 10:37:37.539737,0.747,0.777
3.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.275,1.346
3.0,1.0,0.0,17.86,,,,,,,,2025-04-12 10:37:37.539737,0.768,0.805
3.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.275,1.346
3.0,1.0,15.0,21.43,,,,,,,,2025-04-12 10:37:37.539737,1.489,1.546
3.0,2.0,15.0,21.43,,,,,,,,2025-04-12 10:37:37.539737,1.566,1.615
3.0,2.0,15.0,28.57,,,,,,,,2025-04-12 10:37:37.539737,1.648,1.689
3.0,3.0,15.0,28.57,,,,,,,,2025-04-12 10:37:37.539737,1.732,1.763
3.0,3.0,15.0,32.14,,,,,,,,2025-04-12 10:37:37.539737,1.776,1.801
3.0,4.0,15.0,32.14,,,,,,,,2025-04-12 10:37:37.539737,1.866,1.878
3.0,4.0,15.0,32.14,,,,,,,,2025-04-12 10:37:37.539737,1.866,1.878
3.0,5.0,15.0,32.14,,,,,,,,2025-04-12 10:37:37.539737,1.958,1.958
3.0,5.0,15.0,42.86,,,,,,,,2025-04-12 10:37:37.539737,2.108,2.084
3.0,6.0,15.0,42.86,,,,,,,,2025-04-12 10:37:37.539737,2.21,2.169
3.0,6.0,15.0,42.86,,,,,,,,2025-04-12 10:37:37.539737,2.21,2.169
3.0,7.0,15.0,42.86,,,,,,,,2025-04-12 10:37:37.539737,2.316,2.255
3.0,7.0,15.0,42.86,,,,,,,,2025-04-12 10:37:37.539737,2.316,2.255
3.0,8.0,15.0,42.86,,,,,,,,2025-04-12 10:37:37.539737,2.424,2.344
3.0,8.0,15.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,2.482,2.39
3.0,9.0,15.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,2.596,2.482
3.0,9.0,15.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,2.596,2.482
3.0,10.0,15.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,2.714,2.576
3.0,10.0,15.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,2.714,2.576
4.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.396,1.46
4.0,1.0,7.0,14.81,,,,,,,,2025-04-12 10:37:37.539737,1.061,1.135
4.0,2.0,7.0,14.81,,,,,,,,2025-04-12 10:37:37.539737,1.113,1.188
4.0,2.0,7.0,18.52,,,,,,,,2025-04-12 10:37:37.539737,1.142,1.217
4.0,3.0,7.0,18.52,,,,,,,,2025-04-12 10:37:37.539737,1.2,1.274
4.0,3.0,7.0,20.37,,,,,,,,2025-04-12 10:37:37.539737,1.216,1.29
4.0,4.0,7.0,20.37,,,,,,,,2025-04-12 10:37:37.539737,1.278,1.35
4.0,4.0,7.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.296,1.366
4.0,5.0,7.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.362,1.429
4.0,5.0,7.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.362,1.429
4.0,6.0,7.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.433,1.494
4.0,6.0,7.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.433,1.494
4.0,7.0,7.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.507,1.562
4.0,7.0,7.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.507,1.562
4.0,8.0,7.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.584,1.632
4.0,8.0,7.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.584,1.632
4.0,9.0,7.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.665,1.704
4.0,9.0,2.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.309,1.378
4.0,10.0,2.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.376,1.442
4.0,10.0,2.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.414,1.477
1.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.068,1.142
1.0,1.0,10.0,26.09,,,,,,,,2025-04-12 10:37:37.539737,1.017,1.089
1.0,2.0,10.0,26.09,,,,,,,,2025-04-12 10:37:37.539737,1.066,1.14
1.0,2.0,10.0,26.09,,,,,,,,2025-04-12 10:37:37.539737,1.066,1.14
1.0,3.0,10.0,26.09,,,,,,,,2025-04-12 10:37:37.539737,1.119,1.193
1.0,3.0,4.0,39.13,,,,,,,,2025-04-12 10:37:37.539737,0.934,1.001
1.0,4.0,4.0,39.13,,,,,,,,2025-04-12 10:37:37.539737,0.976,1.047
1.0,4.0,4.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.005,1.077
1.0,5.0,4.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.053,1.127
1.0,5.0,4.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.053,1.127
1.0,6.0,4.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.105,1.18
1.0,6.0,4.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.105,1.18
1.0,7.0,4.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.16,1.235
1.0,7.0,4.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.16,1.235
1.0,8.0,4.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.219,1.292
1.0,8.0,4.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.219,1.292
1.0,9.0,4.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.281,1.353
1.0,9.0,3.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.221,1.295
1.0,10.0,3.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.284,1.355
1.0,10.0,3.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.284,1.355
2.0,1.0,8.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,0.859,0.917
2.0,1.0,4.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,0.993,1.064
2.0,2.0,4.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.04,1.113
2.0,2.0,4.0,58.33,,,,,,,,2025-04-12 10:37:37.539737,1.101,1.176
2.0,3.0,4.0,58.33,,,,,,,,2025-04-12 10:37:37.539737,1.157,1.231
2.0,3.0,4.0,75.0,,,,,,,,2025-04-12 10:37:37.539737,1.303,1.373
2.0,4.0,4.0,75.0,,,,,,,,2025-04-12 10:37:37.539737,1.371,1.437
2.0,4.0,4.0,91.67,,,,,,,,2025-04-12 10:37:37.539737,1.547,1.598
2.0,5.0,4.0,91.67,,,,,,,,2025-04-12 10:37:37.539737,1.626,1.669
2.0,5.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,1.726,1.757
2.0,6.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,1.813,1.833
2.0,6.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,1.813,1.833
2.0,7.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,1.903,1.911
2.0,7.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,1.903,1.911
2.0,8.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,1.998,1.991
2.0,8.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,1.998,1.991
2.0,9.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.095,2.073
2.0,9.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.095,2.073
2.0,10.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.197,2.157
2.0,10.0,4.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.197,2.157
3.0,1.0,9.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,0.966,1.036
3.0,1.0,8.0,21.43,,,,,,,,2025-04-12 10:37:37.539737,1.066,1.141
3.0,2.0,8.0,21.43,,,,,,,,2025-04-12 10:37:37.539737,1.119,1.194
3.0,2.0,8.0,25.0,,,,,,,,2025-04-12 10:37:37.539737,1.148,1.222
3.0,3.0,8.0,25.0,,,,,,,,2025-04-12 10:37:37.539737,1.206,1.279
3.0,3.0,7.0,35.71,,,,,,,,2025-04-12 10:37:37.539737,1.241,1.314
3.0,4.0,7.0,35.71,,,,,,,,2025-04-12 10:37:37.539737,1.305,1.375
3.0,4.0,7.0,35.71,,,,,,,,2025-04-12 10:37:37.539737,1.305,1.375
3.0,5.0,7.0,35.71,,,,,,,,2025-04-12 10:37:37.539737,1.372,1.438
3.0,5.0,6.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,1.413,1.476
3.0,6.0,6.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,1.486,1.543
3.0,6.0,6.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.525,1.578
3.0,7.0,6.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.603,1.649
3.0,7.0,6.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.603,1.649
3.0,8.0,6.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.685,1.721
3.0,8.0,6.0,53.57,,,,,,,,2025-04-12 10:37:37.539737,1.729,1.76
3.0,9.0,6.0,53.57,,,,,,,,2025-04-12 10:37:37.539737,1.816,1.836
3.0,9.0,6.0,53.57,,,,,,,,2025-04-12 10:37:37.539737,1.816,1.836
3.0,10.0,6.0,53.57,,,,,,,,2025-04-12 10:37:37.539737,1.907,1.914
