CurrentLevel;WaveNumber;TowerID;TowerType;Action;Level;Range;FireRate;Cost;Timestamp
1;5;-87756;Rocket;Update;0;8;0,5;12;2025.01.29 10:50
1;5;-71880;Rocket;Update;0;8;0,5;12;2025.01.29 10:50
1;5;-67652;Rocket;Update;0;8;0,5;12;2025.01.29 10:50
1;5;-44986;Rocket;Update;0;8;0,5;12;2025.01.29 10:50
1;5;-31204;MachineGun;Update;0;6;4;4;2025.01.29 10:50
1;5;-28596;MachineGun;Update;0;6;4;4;2025.01.29 10:50
1;6;-158262;MachineGun;Update;2;8;5;26;2025.01.29 10:51
1;6;-154306;MachineGun;Update;1;7;5;12;2025.01.29 10:51
1;6;-143154;MachineGun;Update;1;7;5;12;2025.01.29 10:51
1;6;-138102;Rocket;Update;1;10;0,65;36;2025.01.29 10:51
1;6;-123616;MachineGun;Update;2;8;5;26;2025.01.29 10:51
1;6;-114114;MachineGun;Update;2;8;5;26;2025.01.29 10:51
1;6;-99158;Rocket;Update;1;10;0,65;36;2025.01.29 10:51
1;6;-87862;Rocket;Update;0;8;0,5;12;2025.01.29 10:51
1;6;-87756;Rocket;Update;0;8;0,5;12;2025.01.29 10:51
1;6;-71880;Rocket;Update;0;8;0,5;12;2025.01.29 10:51
1;6;-67652;Rocket;Update;0;8;0,5;12;2025.01.29 10:51
1;6;-44986;Rocket;Update;0;8;0,5;12;2025.01.29 10:51
1;7;-179264;MachineGun;Update;2;8;5;26;2025.01.29 10:52
1;7;-178570;MachineGun;Update;2;8;5;26;2025.01.29 10:52
1;7;-158262;MachineGun;Update;2;8;5;26;2025.01.29 10:52
1;7;-138102;Rocket;Update;1;10;0,65;36;2025.01.29 10:52
1;7;-123616;MachineGun;Update;2;8;5;26;2025.01.29 10:52
1;7;-114114;MachineGun;Update;2;8;5;26;2025.01.29 10:52
1;7;-99158;Rocket;Update;1;10;0,65;36;2025.01.29 10:52
1;7;-87862;Rocket;Update;0;8;0,5;12;2025.01.29 10:52
1;7;-87756;Rocket;Update;0;8;0,5;12;2025.01.29 10:52
1;7;-71880;Rocket;Update;0;8;0,5;12;2025.01.29 10:52
1;7;-67652;Rocket;Update;0;8;0,5;12;2025.01.29 10:52
1;7;-44986;Rocket;Update;0;8;0,5;12;2025.01.29 10:52
1;8;-205838;Rocket;Update;0;8;0,5;12;2025.01.29 10:53
1;8;-203634;Rocket;Update;1;10;0,65;36;2025.01.29 10:53
1;8;-179264;MachineGun;Update;2;8;5;26;2025.01.29 10:53
1;8;-178570;MachineGun;Update;2;8;5;26;2025.01.29 10:53
1;8;-158262;MachineGun;Update;2;8;5;26;2025.01.29 10:53
1;8;-138102;Rocket;Update;1;10;0,65;36;2025.01.29 10:53
1;8;-123616;MachineGun;Update;2;8;5;26;2025.01.29 10:53
1;8;-114114;MachineGun;Update;2;8;5;26;2025.01.29 10:53
1;8;-99158;Rocket;Update;1;10;0,65;36;2025.01.29 10:53
1;8;-87862;Rocket;Update;0;8;0,5;12;2025.01.29 10:53
1;8;-87756;Rocket;Update;0;8;0,5;12;2025.01.29 10:53
1;8;-71880;Rocket;Update;0;8;0,5;12;2025.01.29 10:53
1;8;-67652;Rocket;Update;0;8;0,5;12;2025.01.29 10:53
1;9;-246048;Rocket;Update;1;10;0,65;36;2025.01.29 10:54
1;9;-220640;MachineGun;Update;2;8;5;26;2025.01.29 10:54
1;9;-205838;Rocket;Update;0;8;0,5;12;2025.01.29 10:54
1;9;-203634;Rocket;Update;1;10;0,65;36;2025.01.29 10:54
1;9;-179264;MachineGun;Update;2;8;5;26;2025.01.29 10:54
1;9;-178570;MachineGun;Update;2;8;5;26;2025.01.29 10:54
1;9;-158262;MachineGun;Update;2;8;5;26;2025.01.29 10:54
1;9;-138102;Rocket;Update;1;10;0,65;36;2025.01.29 10:54
1;9;-123616;MachineGun;Update;2;8;5;26;2025.01.29 10:54
1;9;-114114;MachineGun;Update;2;8;5;26;2025.01.29 10:54
1;9;-99158;Rocket;Update;1;10;0,65;36;2025.01.29 10:54
1;9;-87862;Rocket;Update;0;8;0,5;12;2025.01.29 10:54
1;9;-87756;Rocket;Update;0;8;0,5;12;2025.01.29 10:54
1;9;-71880;Rocket;Update;0;8;0,5;12;2025.01.29 10:54
1;10;-268288;Rocket;Update;0;8;0,5;12;2025.01.29 10:55
1;10;-251046;Rocket;Update;0;8;0,5;12;2025.01.29 10:55
1;10;-246048;Rocket;Update;1;10;0,65;36;2025.01.29 10:55
1;10;-220640;MachineGun;Update;2;8;5;26;2025.01.29 10:55
1;10;-205838;Rocket;Update;0;8;0,5;12;2025.01.29 10:55
1;10;-203634;Rocket;Update;1;10;0,65;36;2025.01.29 10:55
1;10;-179264;MachineGun;Update;2;8;5;26;2025.01.29 10:55
1;10;-178570;MachineGun;Update;2;8;5;26;2025.01.29 10:55
1;10;-158262;MachineGun;Update;2;8;5;26;2025.01.29 10:55
1;10;-138102;Rocket;Update;1;10;0,65;36;2025.01.29 10:55
1;10;-123616;MachineGun;Update;2;8;5;26;2025.01.29 10:55
1;10;-114114;MachineGun;Update;2;8;5;26;2025.01.29 10:55
1;10;-99158;Rocket;Update;1;10;0,65;36;2025.01.29 10:55
1;10;-87862;Rocket;Update;0;8;0,5;12;2025.01.29 10:55
1;10;-87756;Rocket;Update;0;8;0,5;12;2025.01.29 10:55
1;10;-71880;Rocket;Update;0;8;0,5;12;2025.01.29 10:55
2;1;NaN;NaN;GameStart;NaN;NaN;NaN;NaN;2025.01.29 10:55
2;1;-303486;MachineGun;Update;0;6;4;4;2025.01.29 10:56
2;1;-295188;MachineGun;Update;1;7;5;12;2025.01.29 10:56
2;1;-290684;MachineGun;Update;1;7;5;12;2025.01.29 10:56
2;1;-285456;MachineGun;Update;0;6;4;4;2025.01.29 10:56
2;1;-282754;MachineGun;Update;0;6;4;4;2025.01.29 10:56
2;1;-282568;Rocket;Update;0;8;0,5;12;2025.01.29 10:56
2;2;-328114;MachineGun;Update;2;8;5;26;2025.01.29 10:57
2;2;-320334;MachineGun;Update;1;7;5;12;2025.01.29 10:57
2;2;-315474;Rocket;Update;0;8;0,5;12;2025.01.29 10:57
2;2;-310228;MachineGun;Update;1;7;5;12;2025.01.29 10:57
2;2;-295188;MachineGun;Update;1;7;5;12;2025.01.29 10:57
2;2;-282754;MachineGun;Update;0;6;4;4;2025.01.29 10:57
2;2;-282568;Rocket;Update;0;8;0,5;12;2025.01.29 10:57
2;3;-357080;Rocket;Update;0;8;0,5;12;2025.01.29 10:58
2;3;-348390;Rocket;Update;0;8;0,5;12;2025.01.29 10:58
2;3;-328114;MachineGun;Update;2;8;5;26;2025.01.29 10:58
2;3;-320334;MachineGun;Update;1;7;5;12;2025.01.29 10:58
2;3;-315474;Rocket;Update;0;8;0,5;12;2025.01.29 10:58
2;3;-310228;MachineGun;Update;1;7;5;12;2025.01.29 10:58
2;3;-295188;MachineGun;Update;1;7;5;12;2025.01.29 10:58
2;3;-282754;MachineGun;Update;0;6;4;4;2025.01.29 10:58
2;3;-282568;Rocket;Update;0;8;0,5;12;2025.01.29 10:58
2;4;-386464;Rocket;Update;1;10;0,65;36;2025.01.29 10:59
2;4;-367168;Rocket;Update;0;8;0,5;12;2025.01.29 10:59
2;4;-357080;Rocket;Update;0;8;0,5;12;2025.01.29 10:59
2;4;-348390;Rocket;Update;0;8;0,5;12;2025.01.29 10:59
2;4;-328114;MachineGun;Update;2;8;5;26;2025.01.29 10:59
2;4;-320334;MachineGun;Update;1;7;5;12;2025.01.29 10:59
2;4;-310228;MachineGun;Update;1;7;5;12;2025.01.29 10:59
2;4;-295188;MachineGun;Update;1;7;5;12;2025.01.29 10:59
2;4;-282754;MachineGun;Update;0;6;4;4;2025.01.29 10:59
2;4;-282568;Rocket;Update;0;8;0,5;12;2025.01.29 10:59
2;5;-409266;MachineGun;Update;1;7;5;12;2025.01.29 11:00
2;5;-407106;MachineGun;Update;2;8;5;26;2025.01.29 11:00
2;5;-396436;MachineGun;Update;2;8;5;26;2025.01.29 11:00
2;5;-386464;Rocket;Update;1;10;0,65;36;2025.01.29 11:00
2;5;-367168;Rocket;Update;0;8;0,5;12;2025.01.29 11:00
2;5;-357080;Rocket;Update;0;8;0,5;12;2025.01.29 11:00
2;5;-348390;Rocket;Update;0;8;0,5;12;2025.01.29 11:00
2;5;-328114;MachineGun;Update;2;8;5;26;2025.01.29 11:00
2;5;-320334;MachineGun;Update;1;7;5;12;2025.01.29 11:00
2;5;-282568;Rocket;Update;0;8;0,5;12;2025.01.29 11:00
2;6;-453512;Rocket;Update;1;10;0,65;36;2025.01.29 11:01
2;6;-431490;Rocket;Update;1;10;0,65;36;2025.01.29 11:01
2;6;-409266;MachineGun;Update;1;7;5;12;2025.01.29 11:01
2;6;-407106;MachineGun;Update;2;8;5;26;2025.01.29 11:01
2;6;-396436;MachineGun;Update;2;8;5;26;2025.01.29 11:01
2;6;-386464;Rocket;Update;1;10;0,65;36;2025.01.29 11:01
2;6;-367168;Rocket;Update;0;8;0,5;12;2025.01.29 11:01
2;6;-328114;MachineGun;Update;2;8;5;26;2025.01.29 11:01
2;6;-320334;MachineGun;Update;1;7;5;12;2025.01.29 11:01
2;6;-282568;Rocket;Update;0;8;0,5;12;2025.01.29 11:01
2;7;-493202;Rocket;Update;1;10;0,65;36;2025.01.29 11:02
2;7;-475738;Rocket;Update;0;8;0,5;12;2025.01.29 11:02
2;7;-453512;Rocket;Update;1;10;0,65;36;2025.01.29 11:02
2;7;-431490;Rocket;Update;1;10;0,65;36;2025.01.29 11:02
2;7;-409266;MachineGun;Update;1;7;5;12;2025.01.29 11:02
2;7;-407106;MachineGun;Update;2;8;5;26;2025.01.29 11:02
2;7;-396436;MachineGun;Update;2;8;5;26;2025.01.29 11:02
2;7;-386464;Rocket;Update;1;10;0,65;36;2025.01.29 11:02
2;7;-367168;Rocket;Update;0;8;0,5;12;2025.01.29 11:02
2;7;-328114;MachineGun;Update;2;8;5;26;2025.01.29 11:02
2;7;-320334;MachineGun;Update;1;7;5;12;2025.01.29 11:02
2;7;-282568;Rocket;Update;0;8;0,5;12;2025.01.29 11:02
2;8;-528642;MachineGun;Update;2;8;5;26;2025.01.29 11:04
2;8;-517160;Rocket;Update;1;10;0,65;36;2025.01.29 11:04
2;8;-493202;Rocket;Update;1;10;0,65;36;2025.01.29 11:04
2;8;-453512;Rocket;Update;1;10;0,65;36;2025.01.29 11:04
2;8;-431490;Rocket;Update;1;10;0,65;36;2025.01.29 11:04
2;8;-407106;MachineGun;Update;2;8;5;26;2025.01.29 11:04
2;8;-396436;MachineGun;Update;2;8;5;26;2025.01.29 11:04
2;8;-386464;Rocket;Update;1;10;0,65;36;2025.01.29 11:04
2;8;-367168;Rocket;Update;0;8;0,5;12;2025.01.29 11:04
2;8;-328114;MachineGun;Update;2;8;5;26;2025.01.29 11:04
2;8;-320334;MachineGun;Update;1;7;5;12;2025.01.29 11:04
2;8;-282568;Rocket;Update;0;8;0,5;12;2025.01.29 11:04
2;9;-564378;MachineGun;Update;2;8;5;26;2025.01.29 11:05
2;9;-528642;MachineGun;Update;2;8;5;26;2025.01.29 11:05
2;9;-517160;Rocket;Update;1;10;0,65;36;2025.01.29 11:05
2;9;-493202;Rocket;Update;1;10;0,65;36;2025.01.29 11:05
2;9;-453512;Rocket;Update;1;10;0,65;36;2025.01.29 11:05
2;9;-431490;Rocket;Update;1;10;0,65;36;2025.01.29 11:05
2;9;-407106;MachineGun;Update;2;8;5;26;2025.01.29 11:05
2;9;-396436;MachineGun;Update;2;8;5;26;2025.01.29 11:05
2;9;-386464;Rocket;Update;1;10;0,65;36;2025.01.29 11:05
2;9;-367168;Rocket;Update;0;8;0,5;12;2025.01.29 11:05
2;9;-328114;MachineGun;Update;2;8;5;26;2025.01.29 11:05
2;9;-282568;Rocket;Update;0;8;0,5;12;2025.01.29 11:05
2;10;-590016;Rocket;Update;1;10;0,65;36;2025.01.29 11:06
2;10;-567496;Rocket;Update;1;10;0,65;36;2025.01.29 11:06
2;10;-564378;MachineGun;Update;2;8;5;26;2025.01.29 11:06
2;10;-528642;MachineGun;Update;2;8;5;26;2025.01.29 11:06
2;10;-517160;Rocket;Update;1;10;0,65;36;2025.01.29 11:06
2;10;-493202;Rocket;Update;1;10;0,65;36;2025.01.29 11:06
2;10;-453512;Rocket;Update;1;10;0,65;36;2025.01.29 11:06
2;10;-431490;Rocket;Update;1;10;0,65;36;2025.01.29 11:06
2;10;-407106;MachineGun;Update;2;8;5;26;2025.01.29 11:06
2;10;-396436;MachineGun;Update;2;8;5;26;2025.01.29 11:06
2;10;-386464;Rocket;Update;1;10;0,65;36;2025.01.29 11:06
2;10;-328114;MachineGun;Update;2;8;5;26;2025.01.29 11:06
3;1;NaN;NaN;GameStart;NaN;NaN;NaN;NaN;2025.01.29 11:06
3;1;-635074;MachineGun;Update;1;7;5;12;2025.01.29 11:07
3;1;-630740;MachineGun;Update;1;7;5;12;2025.01.29 11:07
3;1;-626406;MachineGun;Update;1;7;5;12;2025.01.29 11:07
3;1;-618162;MachineGun;Update;0;6;4;4;2025.01.29 11:07
3;1;-616898;MachineGun;Update;0;6;4;4;2025.01.29 11:07
3;1;-609712;MachineGun;Update;0;6;4;4;2025.01.29 11:07
3;1;-609598;Rocket;Update;0;8;0,5;12;2025.01.29 11:07
3;2;-665992;MachineGun;Update;1;7;5;12;2025.01.29 11:08
3;2;-654448;MachineGun;Update;0;6;4;4;2025.01.29 11:08
3;2;-652768;Rocket;Update;0;8;0,5;12;2025.01.29 11:08
3;2;-649364;Rocket;Update;0;8;0,5;12;2025.01.29 11:08
3;2;-635074;MachineGun;Update;1;7;5;12;2025.01.29 11:08
3;2;-630740;MachineGun;Update;1;7;5;12;2025.01.29 11:08
3;2;-626406;MachineGun;Update;1;7;5;12;2025.01.29 11:08
3;2;-618162;MachineGun;Update;0;6;4;4;2025.01.29 11:08
3;2;-616898;MachineGun;Update;0;6;4;4;2025.01.29 11:08
3;2;-609598;Rocket;Update;0;8;0,5;12;2025.01.29 11:08
3;3;-688314;Rocket;Update;0;8;0,5;12;2025.01.29 11:09
3;3;-678832;Rocket;Update;0;8;0,5;12;2025.01.29 11:09
3;3;-676544;Rocket;Update;0;8;0,5;12;2025.01.29 11:09
3;3;-665992;MachineGun;Update;1;7;5;12;2025.01.29 11:09
3;3;-654448;MachineGun;Update;0;6;4;4;2025.01.29 11:09
3;3;-652768;Rocket;Update;0;8;0,5;12;2025.01.29 11:09
3;3;-649364;Rocket;Update;0;8;0,5;12;2025.01.29 11:09
3;3;-635074;MachineGun;Update;1;7;5;12;2025.01.29 11:09
3;3;-630740;MachineGun;Update;1;7;5;12;2025.01.29 11:09
3;3;-626406;MachineGun;Update;1;7;5;12;2025.01.29 11:09
3;3;-618162;MachineGun;Update;0;6;4;4;2025.01.29 11:09
3;3;-616898;MachineGun;Update;0;6;4;4;2025.01.29 11:09
3;3;-609598;Rocket;Update;0;8;0,5;12;2025.01.29 11:09
3;4;-726680;Rocket;Update;1;10;0,65;36;2025.01.29 11:11
3;4;-707748;Rocket;Update;1;10;0,65;36;2025.01.29 11:11
3;4;-676544;Rocket;Update;0;8;0,5;12;2025.01.29 11:11
3;4;-665992;MachineGun;Update;1;7;5;12;2025.01.29 11:11
3;4;-654448;MachineGun;Update;0;6;4;4;2025.01.29 11:11
3;4;-652768;Rocket;Update;0;8;0,5;12;2025.01.29 11:11
3;4;-649364;Rocket;Update;0;8;0,5;12;2025.01.29 11:11
3;4;-635074;MachineGun;Update;1;7;5;12;2025.01.29 11:11
3;4;-630740;MachineGun;Update;1;7;5;12;2025.01.29 11:11
3;4;-626406;MachineGun;Update;1;7;5;12;2025.01.29 11:11
3;4;-618162;MachineGun;Update;0;6;4;4;2025.01.29 11:11
3;4;-616898;MachineGun;Update;0;6;4;4;2025.01.29 11:11
3;4;-609598;Rocket;Update;0;8;0,5;12;2025.01.29 11:11
3;5;-738676;Rocket;Update;0;8;0,5;12;2025.01.29 11:12
3;5;-726680;Rocket;Update;1;10;0,65;36;2025.01.29 11:12
3;5;-707748;Rocket;Update;1;10;0,65;36;2025.01.29 11:12
3;5;-676544;Rocket;Update;0;8;0,5;12;2025.01.29 11:12
3;5;-665992;MachineGun;Update;1;7;5;12;2025.01.29 11:12
3;5;-654448;MachineGun;Update;0;6;4;4;2025.01.29 11:12
3;5;-652768;Rocket;Update;0;8;0,5;12;2025.01.29 11:12
3;5;-649364;Rocket;Update;0;8;0,5;12;2025.01.29 11:12
3;5;-635074;MachineGun;Update;1;7;5;12;2025.01.29 11:12
3;5;-630740;MachineGun;Update;1;7;5;12;2025.01.29 11:12
3;5;-626406;MachineGun;Update;1;7;5;12;2025.01.29 11:12
3;5;-618162;MachineGun;Update;0;6;4;4;2025.01.29 11:12
3;5;-616898;MachineGun;Update;0;6;4;4;2025.01.29 11:12
3;5;-609598;Rocket;Update;0;8;0,5;12;2025.01.29 11:12
3;6;-776360;Rocket;Update;1;10;0,65;36;2025.01.29 11:13
3;6;-757860;Rocket;Update;1;10;0,65;36;2025.01.29 11:13
3;6;-738676;Rocket;Update;0;8;0,5;12;2025.01.29 11:13
3;6;-726680;Rocket;Update;1;10;0,65;36;2025.01.29 11:13
3;6;-707748;Rocket;Update;1;10;0,65;36;2025.01.29 11:13
3;6;-665992;MachineGun;Update;1;7;5;12;2025.01.29 11:13
3;6;-654448;MachineGun;Update;0;6;4;4;2025.01.29 11:13
3;6;-649364;Rocket;Update;0;8;0,5;12;2025.01.29 11:13
3;6;-635074;MachineGun;Update;1;7;5;12;2025.01.29 11:13
3;6;-630740;MachineGun;Update;1;7;5;12;2025.01.29 11:13
3;6;-626406;MachineGun;Update;1;7;5;12;2025.01.29 11:13
3;6;-618162;MachineGun;Update;0;6;4;4;2025.01.29 11:13
3;6;-616898;MachineGun;Update;0;6;4;4;2025.01.29 11:13
3;6;-609598;Rocket;Update;0;8;0,5;12;2025.01.29 11:13
3;7;-810312;MachineGun;Update;1;7;5;12;2025.01.29 11:14
3;7;-809618;MachineGun;Update;1;7;5;12;2025.01.29 11:14
3;7;-794960;Rocket;Update;1;10;0,65;36;2025.01.29 11:14
3;7;-776360;Rocket;Update;1;10;0,65;36;2025.01.29 11:14
3;7;-757860;Rocket;Update;1;10;0,65;36;2025.01.29 11:14
3;7;-738676;Rocket;Update;0;8;0,5;12;2025.01.29 11:14
3;7;-726680;Rocket;Update;1;10;0,65;36;2025.01.29 11:14
3;7;-707748;Rocket;Update;1;10;0,65;36;2025.01.29 11:14
3;7;-665992;MachineGun;Update;1;7;5;12;2025.01.29 11:14
3;7;-654448;MachineGun;Update;0;6;4;4;2025.01.29 11:14
3;7;-635074;MachineGun;Update;1;7;5;12;2025.01.29 11:14
3;7;-630740;MachineGun;Update;1;7;5;12;2025.01.29 11:14
3;7;-626406;MachineGun;Update;1;7;5;12;2025.01.29 11:14
3;7;-609598;Rocket;Update;0;8;0,5;12;2025.01.29 11:14
3;8;-847632;Rocket;Update;1;10;0,65;36;2025.01.29 11:15
3;8;-846938;Rocket;Update;1;10;0,65;36;2025.01.29 11:15
3;8;-810312;MachineGun;Update;1;7;5;12;2025.01.29 11:15
3;8;-809618;MachineGun;Update;1;7;5;12;2025.01.29 11:15
3;8;-794960;Rocket;Update;1;10;0,65;36;2025.01.29 11:15
3;8;-776360;Rocket;Update;1;10;0,65;36;2025.01.29 11:15
3;8;-757860;Rocket;Update;1;10;0,65;36;2025.01.29 11:15
3;8;-726680;Rocket;Update;1;10;0,65;36;2025.01.29 11:15
3;8;-707748;Rocket;Update;1;10;0,65;36;2025.01.29 11:15
3;8;-665992;MachineGun;Update;1;7;5;12;2025.01.29 11:15
3;8;-654448;MachineGun;Update;0;6;4;4;2025.01.29 11:15
3;8;-635074;MachineGun;Update;1;7;5;12;2025.01.29 11:15
3;8;-630740;MachineGun;Update;1;7;5;12;2025.01.29 11:15
3;8;-626406;MachineGun;Update;1;7;5;12;2025.01.29 11:15
3;9;-880214;MachineGun;Update;2;8;5;26;2025.01.29 11:17
3;9;-878526;MachineGun;Update;2;8;5;26;2025.01.29 11:17
3;9;-847632;Rocket;Update;1;10;0,65;36;2025.01.29 11:17
3;9;-846938;Rocket;Update;1;10;0,65;36;2025.01.29 11:17
3;9;-810312;MachineGun;Update;1;7;5;12;2025.01.29 11:17
3;9;-809618;MachineGun;Update;1;7;5;12;2025.01.29 11:17
3;9;-794960;Rocket;Update;1;10;0,65;36;2025.01.29 11:17
3;9;-776360;Rocket;Update;1;10;0,65;36;2025.01.29 11:17
3;9;-757860;Rocket;Update;1;10;0,65;36;2025.01.29 11:17
3;9;-726680;Rocket;Update;1;10;0,65;36;2025.01.29 11:17
3;9;-707748;Rocket;Update;1;10;0,65;36;2025.01.29 11:17
3;9;-654448;MachineGun;Update;0;6;4;4;2025.01.29 11:17
3;9;-630740;MachineGun;Update;1;7;5;12;2025.01.29 11:17
3;9;-626406;MachineGun;Update;1;7;5;12;2025.01.29 11:17
3;10;-931552;MachineGun;Update;0;6;4;4;2025.01.29 11:18
3;10;-929122;MachineGun;Update;1;7;5;12;2025.01.29 11:18
3;10;-928400;MachineGun;Update;2;8;5;26;2025.01.29 11:18
3;10;-899218;Rocket;Update;1;10;0,65;36;2025.01.29 11:18
3;10;-880214;MachineGun;Update;2;8;5;26;2025.01.29 11:18
3;10;-878526;MachineGun;Update;2;8;5;26;2025.01.29 11:18
3;10;-847632;Rocket;Update;1;10;0,65;36;2025.01.29 11:18
3;10;-846938;Rocket;Update;1;10;0,65;36;2025.01.29 11:18
3;10;-810312;MachineGun;Update;1;7;5;12;2025.01.29 11:18
3;10;-809618;MachineGun;Update;1;7;5;12;2025.01.29 11:18
3;10;-794960;Rocket;Update;1;10;0,65;36;2025.01.29 11:18
3;10;-776360;Rocket;Update;1;10;0,65;36;2025.01.29 11:18
3;10;-757860;Rocket;Update;1;10;0,65;36;2025.01.29 11:18
3;10;-726680;Rocket;Update;1;10;0,65;36;2025.01.29 11:18
3;10;-707748;Rocket;Update;1;10;0,65;36;2025.01.29 11:18
3;10;-626406;MachineGun;Update;1;7;5;12;2025.01.29 11:18
4;1;NaN;NaN;GameStart;NaN;NaN;NaN;NaN;2025.01.29 11:18
4;1;-955402;Rocket;Update;0;8;0,5;12;2025.01.29 11:19
4;1;-949514;Rocket;Update;0;8;0,5;12;2025.01.29 11:19
4;1;-941422;MachineGun;Update;0;6;4;4;2025.01.29 11:19
4;1;-940130;MachineGun;Update;0;6;4;4;2025.01.29 11:19
4;1;-936806;MachineGun;Update;0;6;4;4;2025.01.29 11:19
4;1;-935350;MachineGun;Update;0;6;4;4;2025.01.29 11:19
4;1;-935274;MachineGun;Update;0;6;4;4;2025.01.29 11:19
4;1;-935238;MachineGun;Update;0;6;4;4;2025.01.29 11:19
4;1;-935164;Rocket;Update;0;8;0,5;12;2025.01.29 11:19
4;2;-972166;Rocket;Update;0;8;0,5;12;2025.01.29 11:20
4;2;-967930;Rocket;Update;0;8;0,5;12;2025.01.29 11:20
4;2;-967214;Rocket;Update;0;8;0,5;12;2025.01.29 11:20
4;2;-955402;Rocket;Update;0;8;0,5;12;2025.01.29 11:20
4;2;-949514;Rocket;Update;0;8;0,5;12;2025.01.29 11:20
4;2;-941422;MachineGun;Update;0;6;4;4;2025.01.29 11:20
4;2;-940130;MachineGun;Update;0;6;4;4;2025.01.29 11:20
4;2;-936806;MachineGun;Update;0;6;4;4;2025.01.29 11:20
4;2;-935350;MachineGun;Update;0;6;4;4;2025.01.29 11:20
4;2;-935274;MachineGun;Update;0;6;4;4;2025.01.29 11:20
4;2;-935238;MachineGun;Update;0;6;4;4;2025.01.29 11:20
4;2;-935164;Rocket;Update;0;8;0,5;12;2025.01.29 11:20
4;3;-1003604;MachineGun;Update;1;7;5;12;2025.01.29 11:22
4;3;-1003036;MachineGun;Update;1;7;5;12;2025.01.29 11:22
4;3;-987796;Rocket;Update;0;8;0,5;12;2025.01.29 11:22
4;3;-979694;Rocket;Update;0;8;0,5;12;2025.01.29 11:22
4;3;-972166;Rocket;Update;0;8;0,5;12;2025.01.29 11:22
4;3;-967930;Rocket;Update;0;8;0,5;12;2025.01.29 11:22
